,workerid,key,value
52,W96689ec551,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
53,W96689ec551,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
54,W96689ec551,bonus,2
55,W7d606c0a33,startTime,Fri Apr 15 2022 20:22:08 GMT+0100 (British Summer Time)
56,W7d606c0a33,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
57,W7d606c0a33,trialDataFile,exp2_split2
58,W7d606c0a33,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
59,W7d606c0a33,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
60,W7d606c0a33,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":4}"
61,W7d606c0a33,quizPassed,"{""attempt"":2,""correct"":4,""total"":4}"
62,W7d606c0a33,bonus,2
63,W61cb31cb07,startTime,Sat Apr 16 2022 06:35:23 GMT-0400 (Eastern Daylight Time)
64,W61cb31cb07,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
65,W61cb31cb07,trialDataFile,exp2_split3
66,W61cb31cb07,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
67,W61cb31cb07,quizAttempt-1,"{""attempt"":1,""correct"":9,""total"":16}"
68,W61cb31cb07,quizAttempt-2,"{""attempt"":2,""correct"":9,""total"":9}"
69,W61cb31cb07,quizPassed,"{""attempt"":2,""correct"":9,""total"":9}"
70,W61cb31cb07,bonus,2
71,Wff50b24e59,startTime,Fri Apr 15 2022 15:21:46 GMT-0400 (Eastern Daylight Time)
72,Wff50b24e59,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
73,Wff50b24e59,trialDataFile,exp2_split3
74,Wff50b24e59,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
75,Wff50b24e59,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
76,Wff50b24e59,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
77,Wff50b24e59,bonus,2
78,W043af515da,startTime,Fri Apr 15 2022 14:23:19 GMT-0500 (Central Daylight Time)
79,W043af515da,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
80,W043af515da,trialDataFile,exp2_split4
81,W043af515da,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
82,W043af515da,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
83,W043af515da,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
84,W043af515da,bonus,2
85,W9c3a0eb4dc,startTime,Fri Apr 15 2022 15:20:36 GMT-0400 (Eastern Daylight Time)
86,W9c3a0eb4dc,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
87,W9c3a0eb4dc,trialDataFile,exp2_split3
88,W9c3a0eb4dc,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
89,W9c3a0eb4dc,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
90,W9c3a0eb4dc,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
91,W9c3a0eb4dc,bonus,2
92,W472a997d4e,startTime,Sat Apr 16 2022 14:57:15 GMT+0100 (British Summer Time)
93,W472a997d4e,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
94,W472a997d4e,trialDataFile,exp2_split4
95,W472a997d4e,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
96,W472a997d4e,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":16}"
97,W472a997d4e,quizAttempt-2,"{""attempt"":2,""correct"":10,""total"":10}"
98,W472a997d4e,quizPassed,"{""attempt"":2,""correct"":10,""total"":10}"
99,W472a997d4e,bonus,2
100,W1f755f5517,startTime,Sat Apr 16 2022 11:33:48 GMT+0100 (Ora legale del Regno Unito)
101,W1f755f5517,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
102,W1f755f5517,trialDataFile,exp2_split2
103,W1f755f5517,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Blue"",""Striped"":""Red""}"
104,W1f755f5517,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
105,W1f755f5517,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
106,W1f755f5517,bonus,2
107,W88de141bae,startTime,Sat Apr 16 2022 05:33:54 GMT-0500 (Central Daylight Time)
108,W88de141bae,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
109,W88de141bae,trialDataFile,exp2_split1
110,W88de141bae,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
111,W88de141bae,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
112,W88de141bae,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
113,W88de141bae,bonus,2
114,W39adc54338,startTime,Sat Apr 16 2022 09:58:32 GMT-0400 (Eastern Daylight Time)
115,Wb4edb87faa,startTime,Fri Apr 15 2022 14:56:55 GMT-0400 (Eastern Daylight Time)
116,Wb4edb87faa,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
117,Wb4edb87faa,trialDataFile,exp2_split2
118,Wb4edb87faa,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
119,Wb4edb87faa,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
120,Wb4edb87faa,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
121,Wb4edb87faa,bonus,2
122,W60f9708ea5,startTime,Sat Apr 16 2022 06:36:55 GMT-0400 (Eastern Daylight Time)
123,W60f9708ea5,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
124,W60f9708ea5,trialDataFile,exp2_split3
125,W60f9708ea5,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
126,W60f9708ea5,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
127,W60f9708ea5,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
128,W60f9708ea5,bonus,2
129,W0e93b7a016,startTime,Sat Apr 16 2022 11:46:35 GMT+0100 (British Summer Time)
130,W0e93b7a016,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
131,W0e93b7a016,trialDataFile,exp2_split1
132,W0e93b7a016,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
133,W0e93b7a016,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
134,W0e93b7a016,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
135,W0e93b7a016,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
136,W0e93b7a016,bonus,2
137,Wdb79252947,startTime,Sat Apr 16 2022 05:36:58 GMT-0500 (Central Daylight Time)
138,Wdb79252947,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
139,Wdb79252947,trialDataFile,exp2_split4
140,Wdb79252947,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
141,Wdb79252947,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
142,Wdb79252947,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
143,Wdb79252947,bonus,2
144,W965426cf86,startTime,Sat Apr 16 2022 06:37:00 GMT-0400 (Eastern Daylight Time)
145,W3a7c94ab05,startTime,Sat Apr 16 2022 06:43:46 GMT-0400 (Eastern Daylight Time)
146,W3a7c94ab05,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
147,W3a7c94ab05,trialDataFile,exp2_split1
148,W3a7c94ab05,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
149,W3a7c94ab05,quizAttempt-1,"{""attempt"":1,""correct"":8,""total"":16}"
150,W3a7c94ab05,quizAttempt-2,"{""attempt"":2,""correct"":13,""total"":13}"
151,W3a7c94ab05,quizPassed,"{""attempt"":2,""correct"":13,""total"":13}"
152,W3a7c94ab05,bonus,2
153,W0d6c592678,startTime,Sat Apr 16 2022 11:33:42 GMT+0100 (BST)
154,W0d6c592678,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
155,W0d6c592678,trialDataFile,exp2_split2
156,W0d6c592678,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
157,W0d6c592678,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
158,W0d6c592678,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
159,W0d6c592678,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
160,W0d6c592678,bonus,2
161,W6063795726,startTime,Sat Apr 16 2022 06:35:06 GMT-0400 (EDT)
162,W6063795726,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
163,W6063795726,trialDataFile,exp2_split2
164,W6063795726,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
165,W6063795726,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
166,W6063795726,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
167,W6063795726,bonus,2
168,W0c171e4019,startTime,Sat Apr 16 2022 08:03:41 GMT-0400 (EDT)
169,W0c171e4019,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
170,W0c171e4019,trialDataFile,exp2_split1
171,W0c171e4019,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
172,W0c171e4019,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
173,W0c171e4019,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":4}"
174,W0c171e4019,quizPassed,"{""attempt"":2,""correct"":4,""total"":4}"
175,W0c171e4019,bonus,2
176,W8cdee3f11a,startTime,Sat Apr 16 2022 08:03:15 GMT-0400 (Eastern Daylight Time)
177,W8cdee3f11a,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
178,W8cdee3f11a,trialDataFile,exp2_split3
179,W8cdee3f11a,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
180,W8cdee3f11a,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":16}"
181,W8cdee3f11a,quizAttempt-2,"{""attempt"":2,""correct"":6,""total"":6}"
182,W8cdee3f11a,quizPassed,"{""attempt"":2,""correct"":6,""total"":6}"
183,W8cdee3f11a,bonus,2
184,W2a62aad16b,startTime,Sat Apr 16 2022 06:43:10 GMT-0400 (Eastern Daylight Time)
185,W2a62aad16b,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
186,W2a62aad16b,trialDataFile,exp2_split1
187,W2a62aad16b,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
188,W2a62aad16b,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
189,W2a62aad16b,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
190,W2a62aad16b,bonus,2
191,W9d8fe97427,startTime,Sat Apr 16 2022 11:46:49 GMT+0100 (British Summer Time)
192,W9d8fe97427,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
193,W9d8fe97427,trialDataFile,exp2_split4
194,W9d8fe97427,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
195,W9d8fe97427,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
196,W9d8fe97427,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
197,W9d8fe97427,bonus,2
198,W81af2d6400,startTime,Sat Apr 16 2022 11:34:14 GMT+0100 (British Summer Time)
199,W81af2d6400,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
200,W81af2d6400,trialDataFile,exp2_split2
201,W81af2d6400,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
202,W81af2d6400,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
203,W81af2d6400,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
204,W81af2d6400,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
205,W81af2d6400,bonus,2
206,Wd09b62fea0,startTime,Sat Apr 16 2022 08:59:11 GMT-0400 (Eastern Daylight Time)
207,Wd4f2e15ef6,startTime,Sat Apr 16 2022 13:56:51 GMT+0100 (British Summer Time)
208,Wd4f2e15ef6,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
209,Wd4f2e15ef6,trialDataFile,exp2_split2
210,Wd4f2e15ef6,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
211,Wd4f2e15ef6,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
212,Wd4f2e15ef6,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
213,Wd4f2e15ef6,bonus,2
214,W40d8d11355,startTime,Sat Apr 16 2022 13:56:49 GMT+0100 (British Summer Time)
215,W40d8d11355,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
216,W40d8d11355,trialDataFile,exp2_split3
217,W40d8d11355,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
218,W40d8d11355,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":16}"
219,W40d8d11355,quizAttempt-2,"{""attempt"":2,""correct"":7,""total"":10}"
220,W40d8d11355,quizAttempt-3,"{""attempt"":3,""correct"":8,""total"":10}"
221,W40d8d11355,quizFailed,"{""attempt"":3,""correct"":8,""total"":10}"
222,W2d36b09915,startTime,Sat Apr 16 2022 14:00:18 GMT+0100 (British Summer Time)
223,W2d36b09915,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
224,W2d36b09915,trialDataFile,exp2_split4
225,W2d36b09915,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
226,W2d36b09915,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
227,W2d36b09915,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
228,W2d36b09915,bonus,2
229,Wfb26b7fb9f,startTime,Sat Apr 16 2022 15:02:47 GMT+0100 (British Summer Time)
230,Wfb26b7fb9f,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
231,Wfb26b7fb9f,trialDataFile,exp2_split1
232,Wfb26b7fb9f,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
233,Wfb26b7fb9f,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
234,Wfb26b7fb9f,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":4}"
235,Wfb26b7fb9f,quizPassed,"{""attempt"":2,""correct"":4,""total"":4}"
236,Wfb26b7fb9f,bonus,2
237,W3702a6741e,startTime,Sat Apr 16 2022 10:03:14 GMT-0400 (Eastern Daylight Time)
238,W3702a6741e,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
239,W3702a6741e,trialDataFile,exp2_split3
240,W3702a6741e,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
241,W3702a6741e,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
242,W3702a6741e,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
243,W3702a6741e,bonus,2
244,W5ad6461636,startTime,Fri Apr 15 2022 14:52:49 GMT-0400 (Eastern Daylight Time)
245,W5ad6461636,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
246,W5ad6461636,trialDataFile,exp2_split3
247,W5ad6461636,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
248,W5ad6461636,quizAttempt-1,"{""attempt"":1,""correct"":10,""total"":16}"
249,W5ad6461636,quizAttempt-2,"{""attempt"":2,""correct"":9,""total"":10}"
250,W5ad6461636,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":3}"
251,W5ad6461636,quizFailed,"{""attempt"":3,""correct"":2,""total"":3}"
252,W47400d778c,startTime,Fri Apr 15 2022 12:17:53 GMT-0700 (Pacific Daylight Time)
253,Wa4c7e2607d,startTime,Fri Apr 15 2022 15:12:13 GMT-0400 (Eastern Daylight Time)
254,Wa4c7e2607d,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
255,Wa4c7e2607d,trialDataFile,exp2_split4
256,Wa4c7e2607d,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
257,Wa4c7e2607d,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
258,Wa4c7e2607d,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
259,Wa4c7e2607d,bonus,2
260,Wcc1bf14940,startTime,Fri Apr 15 2022 20:24:20 GMT+0100 (BST)
261,Wcc1bf14940,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
262,Wcc1bf14940,trialDataFile,exp2_split1
263,Wcc1bf14940,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Blue"",""Striped"":""Red""}"
264,Wcc1bf14940,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
265,Wcc1bf14940,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
266,Wcc1bf14940,bonus,2
267,W306d6b545d,startTime,Fri Apr 15 2022 12:10:23 GMT-0700 (Pacific Daylight Time)
268,Wafb1c74bd6,startTime,Fri Apr 15 2022 20:17:23 GMT+0100 (British Summer Time)
269,Wa8d1d29cf0,startTime,Fri Apr 15 2022 16:29:16 GMT-0400 (Eastern Daylight Time)
270,Wa8d1d29cf0,condition,"{""objective"":""utility"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
271,Wa8d1d29cf0,trialDataFile,exp2_split4
272,Wa8d1d29cf0,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
273,Wa8d1d29cf0,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
274,Wa8d1d29cf0,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
275,Wa8d1d29cf0,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
276,Wa8d1d29cf0,bonus,2
277,Wc60f25b5ec,startTime,Fri Apr 15 2022 15:27:04 GMT-0500 (Central Daylight Time)
278,Wc60f25b5ec,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
279,Wc60f25b5ec,trialDataFile,exp2_split1
280,Wc60f25b5ec,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
281,Wc60f25b5ec,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
282,Wc60f25b5ec,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
283,Wc60f25b5ec,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
284,Wc60f25b5ec,bonus,2
285,W0147897049,startTime,Fri Apr 15 2022 15:03:38 GMT-0400 (Eastern Daylight Time)
286,W0147897049,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
287,W0147897049,trialDataFile,exp2_split3
288,W0147897049,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
289,W0147897049,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":16}"
290,W0147897049,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
291,W0147897049,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
292,W0147897049,bonus,2
293,W8c6d83ec16,startTime,Fri Apr 15 2022 13:18:51 GMT-0600 (Mountain Daylight Time)
294,W8c6d83ec16,condition,"{""objective"":""belief"",""trial_type"":""slider"",""horizon"":""ambiguous""}"
295,W8c6d83ec16,trialDataFile,exp2_split4
296,W8c6d83ec16,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
