,workerid,key,value
183,Wa664a8aada,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
184,Wa664a8aada,trialDataFile,exp2_split2
185,Wa664a8aada,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
186,Wa664a8aada,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":16}"
187,Wa664a8aada,quizAttempt-2,"{""attempt"":2,""correct"":9,""total"":9}"
188,Wa664a8aada,quizPassed,"{""attempt"":2,""correct"":9,""total"":9}"
189,Wa664a8aada,bonus,2
190,W9743e72d4d,startTime,Mon Apr 18 2022 11:51:49 GMT+0100 (Hora de verão da Europa Ocidental)
191,W579d7176db,startTime,Mon Apr 18 2022 12:42:01 GMT+0100 (BST)
192,W579d7176db,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
193,W579d7176db,trialDataFile,exp2_split4
194,W579d7176db,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
195,W579d7176db,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":16}"
196,W579d7176db,quizAttempt-2,"{""attempt"":2,""correct"":13,""total"":13}"
197,W579d7176db,quizPassed,"{""attempt"":2,""correct"":13,""total"":13}"
198,W579d7176db,bonus,2
199,Wf821260364,startTime,Mon Apr 18 2022 11:49:11 GMT+0100 (BST)
200,Wf821260364,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
201,Wf821260364,trialDataFile,exp2_split3
202,Wf821260364,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
203,Wf821260364,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
204,Wf821260364,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
205,Wf821260364,bonus,2
206,Wa9728d8a77,startTime,Mon Apr 18 2022 11:53:00 GMT+0100 (British Summer Time)
207,Wa9728d8a77,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
208,Wa9728d8a77,trialDataFile,exp2_split3
209,Wa9728d8a77,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
210,Wa9728d8a77,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
211,Wa9728d8a77,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
212,Wa9728d8a77,bonus,2
213,W9ca6b5cb0b,startTime,Mon Apr 18 2022 12:38:10 GMT+0100 (British Summer Time)
214,W9ca6b5cb0b,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
215,W9ca6b5cb0b,trialDataFile,exp2_split1
216,W9ca6b5cb0b,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
217,W9ca6b5cb0b,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
218,W9ca6b5cb0b,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
219,W9ca6b5cb0b,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
220,W9ca6b5cb0b,bonus,2
221,W75b876ca05,bonus,2
222,W75b876ca05,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
223,W75b876ca05,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
224,W75b876ca05,quizAttempt-1,"{""attempt"":1,""correct"":6,""total"":16}"
225,W75b876ca05,quizAttempt-2,"{""attempt"":2,""correct"":14,""total"":16}"
226,W75b876ca05,quizAttempt-3,"{""attempt"":3,""correct"":7,""total"":7}"
227,W75b876ca05,quizPassed,"{""attempt"":3,""correct"":7,""total"":7}"
228,W75b876ca05,startTime,Mon Apr 18 2022 12:13:19 GMT+0100 (British Summer Time)
229,W75b876ca05,trialDataFile,exp2_split1
230,W07fabdd490,startTime,Mon Apr 18 2022 12:10:46 GMT+0100 (British Summer Time)
231,W07fabdd490,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":1}"
232,W07fabdd490,trialDataFile,exp2_split4
233,W07fabdd490,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
234,W07fabdd490,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
235,W07fabdd490,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":4}"
236,W07fabdd490,quizAttempt-3,"{""attempt"":3,""correct"":4,""total"":4}"
237,W07fabdd490,quizPassed,"{""attempt"":3,""correct"":4,""total"":4}"
238,W07fabdd490,bonus,2
239,W7d1e1881da,startTime,Mon Apr 18 2022 12:38:17 GMT+0100 (British Summer Time)
240,W7d1e1881da,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
241,W7d1e1881da,trialDataFile,exp2_split3
242,W7d1e1881da,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
243,W7d1e1881da,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
244,W7d1e1881da,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
245,W7d1e1881da,bonus,2
246,Wbad51f43be,startTime,Mon Apr 18 2022 12:37:09 GMT+0100 (British Summer Time)
247,Wbad51f43be,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
248,Wbad51f43be,trialDataFile,exp2_split2
249,Wbad51f43be,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
250,Wbad51f43be,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
251,Wbad51f43be,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
252,Wbad51f43be,bonus,2
253,Weab83fed2e,startTime,Mon Apr 18 2022 12:37:13 GMT+0100 (British Summer Time)
254,Weab83fed2e,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
255,Weab83fed2e,trialDataFile,exp2_split2
256,Weab83fed2e,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
257,Weab83fed2e,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
258,Weab83fed2e,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
259,Weab83fed2e,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
260,Weab83fed2e,bonus,2
261,W26faeb7e1f,startTime,Mon Apr 18 2022 12:38:39 GMT+0100 (British Summer Time)
262,W26faeb7e1f,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
263,W26faeb7e1f,trialDataFile,exp2_split1
264,W26faeb7e1f,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
265,W26faeb7e1f,quizAttempt-1,"{""attempt"":1,""correct"":15,""total"":16}"
266,W26faeb7e1f,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":4}"
267,W26faeb7e1f,quizPassed,"{""attempt"":2,""correct"":4,""total"":4}"
268,W26faeb7e1f,bonus,2
269,W58c3782c0f,startTime,Fri Apr 29 2022 14:10:41 GMT+0100 (British Summer Time)
270,W58c3782c0f,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
271,W58c3782c0f,trialDataFile,exp2_split2
272,W58c3782c0f,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
273,W58c3782c0f,quizAttempt-1,"{""attempt"":1,""correct"":16,""total"":16}"
274,W58c3782c0f,quizPassed,"{""attempt"":1,""correct"":16,""total"":16}"
275,W58c3782c0f,bonus,2
276,W8c80f0cb10,startTime,Fri Apr 29 2022 14:10:51 GMT+0100 (British Summer Time)
277,W8c80f0cb10,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":2}"
278,W8c80f0cb10,trialDataFile,exp2_split1
279,W8c80f0cb10,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
280,W8c80f0cb10,quizAttempt-1,"{""attempt"":1,""correct"":6,""total"":16}"
281,W8c80f0cb10,quizAttempt-2,"{""attempt"":2,""correct"":10,""total"":13}"
282,W8c80f0cb10,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":4}"
283,W8c80f0cb10,quizFailed,"{""attempt"":3,""correct"":2,""total"":4}"
284,W6d317192bb,startTime,Fri Apr 29 2022 14:10:44 GMT+0100 (British Summer Time)
285,W6d317192bb,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
286,W6d317192bb,trialDataFile,exp2_split2
287,W6d317192bb,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
288,W6d317192bb,quizAttempt-1,"{""attempt"":1,""correct"":10,""total"":16}"
289,W6d317192bb,quizAttempt-2,"{""attempt"":2,""correct"":8,""total"":10}"
290,W6d317192bb,quizAttempt-3,"{""attempt"":3,""correct"":4,""total"":4}"
291,W6d317192bb,quizPassed,"{""attempt"":3,""correct"":4,""total"":4}"
292,W6d317192bb,bonus,2
293,Wb75600d996,startTime,Fri Apr 29 2022 14:10:52 GMT+0100 (British Summer Time)
294,Wb75600d996,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
295,Wb75600d996,trialDataFile,exp2_split4
296,Wb75600d996,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Solid"",""Solid"":""Striped"",""Striped"":""Spotted""}"
297,Wb75600d996,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":16}"
298,Wb75600d996,quizAttempt-2,"{""attempt"":2,""correct"":7,""total"":7}"
299,Wb75600d996,quizPassed,"{""attempt"":2,""correct"":7,""total"":7}"
300,Wb75600d996,bonus,2
301,Wd86ca82693,startTime,Mon Apr 18 2022 12:43:19 GMT+0100 (British Summer Time)
302,W2322555d1f,startTime,Tue Apr 19 2022 11:13:51 GMT+0100 (British Summer Time)
303,W2322555d1f,condition,"{""objective"":""ambiguous"",""trial_type"":""slider"",""horizon"":4}"
304,W2322555d1f,trialDataFile,exp2_split4
